¿œ∫∞,TOTAL
2010-11-17,86100854.57
2010-11-18,90747775.39
2010-11-19,89980869.83
2010-11-20,73578204.35
2010-11-21,62812713.24
2010-11-22,80079617.58
2010-11-23,85519432.87
2010-11-24,84703109.78
2010-11-25,86266649.96
2010-11-26,88793731.2
2010-11-27,78367498.35
2010-11-28,67558878.82
2010-11-29,90043035.58
2010-11-30,92968013.18
2010-12-01,92539096.31
2010-12-02,91597605.6
2010-12-03,98338531.63
2010-12-04,82848163.71
2010-12-05,69645743.05
2010-12-06,91821619.28
2010-12-07,102187191.6
2010-12-08,102376688.6
2010-12-09,105622245.4
2010-12-10,103572846.9
2010-12-11,84528266.34
2010-12-12,74636564.28
2010-12-13,105107172.9
2010-12-14,106869156.5
2010-12-15,120188775.9
2010-12-16,120871825.7
2010-12-17,125952750.1
2010-12-18,92729747.35
2010-12-19,77660789.2
2010-12-20,109873030.2
2010-12-21,110504913.3
2010-12-22,119886868.8
2010-12-23,114266811.4
2010-12-24,132048584.2
2010-12-25,92293489.79
2010-12-26,84582360.16
2010-12-27,116797199.2
2010-12-28,119236619.7
2010-12-29,118968663.5
2010-12-30,116902718
2010-12-31,102542798.9
2011-01-01,86977199.17
2011-01-02,87211326.93
2011-01-03,126645385
2011-01-04,134863173.3
2011-01-05,132740868.3
2011-01-06,137380209
2011-01-07,139377281.1
2011-01-08,112686974.2
2011-01-09,96371645.85
2011-01-10,134249812.3
2011-01-11,145446841
2011-01-12,142795445.1
2011-01-13,144323628.9
2011-01-14,141595675.6
2011-01-15,116892160.9
2011-01-16,103388868.3
2011-01-17,135654858.8
2011-01-18,138807432.7
2011-01-19,138356656.4
2011-01-20,140372578.4
2011-01-21,139949317.5
2011-01-22,115461199.4
2011-01-23,97546908.83
2011-01-24,130911176.7
2011-01-25,142083538.3
2011-01-26,141379837.4
2011-01-27,139327186.6
2011-01-28,137289338.9
2011-01-29,116388669
2011-01-30,103176978.6
2011-01-31,130602425.1
2011-02-01,105521454.6
2011-02-02,65812414.98
2011-02-03,55638960.85
2011-02-04,60575866.92
2011-02-05,69908825.27
2011-02-06,75791949.19
2011-02-07,111550708.4
2011-02-08,123094096.6
2011-02-09,123958541.6
2011-02-10,114004573
2011-02-11,111539394.8
2011-02-12,105715733.1
2011-02-13,89313196.73
2011-02-14,119187075.1
2011-02-15,115817295.3
2011-02-16,114112605.8
2011-02-17,115064033.6
2011-02-18,112608862.9
2011-02-19,98643019.72
2011-02-20,81825391.57
2011-02-21,108010638
2011-02-22,112558110.9
2011-02-23,111557445.7
2011-02-24,99413340.48
2011-02-25,96724910.07
2011-02-26,91061016.29
2011-02-27,77634494.58
2011-02-28,100466847.7
2011-03-01,97471546.96
2011-03-02,124485734
2011-03-03,117651093.1
2011-03-04,113805902.9
2011-03-05,98834359.44
2011-03-06,82617308.57
2011-03-07,109670013.5
2011-03-08,115592381
2011-03-09,116156434.1
2011-03-10,116350874.7
2011-03-11,110972231.5
2011-03-12,93671561.77
2011-03-13,78773654.26
2011-03-14,99171731.44
2011-03-15,106739250.6
2011-03-16,112471534
2011-03-17,112911106.9
2011-03-18,108335838.3
2011-03-19,88711951.5
2011-03-20,77430743.31
2011-03-21,109214592.7
2011-03-22,106847649.8
2011-03-23,107900302.5
2011-03-24,109977898.5
2011-03-25,110130452.3
2011-03-26,90930973.24
2011-03-27,78060403.61
2011-03-28,100759714.5
2011-03-29,103673501.7
2011-03-30,100778234.9
2011-03-31,99607538.65
2011-04-01,93641538.37
2011-04-02,81611802.41
2011-04-03,69724681.22
2011-04-04,90596845.47
2011-04-05,96255700.75
2011-04-06,94444822.08
2011-04-07,96472378.53
2011-04-08,92624999.02
2011-04-09,83749690.07
2011-04-10,70560074.3
2011-04-11,90645121.94
2011-04-12,93405237.24
2011-04-13,95255986.56
2011-04-14,93884196.32
2011-04-15,94031545.24
2011-04-16,81218785.84
2011-04-17,71517432.01
2011-04-18,95435360.05
2011-04-19,98020484.9
2011-04-20,95959274.92
2011-04-21,95130097.8
2011-04-22,99529059.94
2011-04-23,85194146.82
2011-04-24,75171751.55
2011-04-25,91737177.42
2011-04-26,99332742.01
2011-04-27,99557548.77
2011-04-28,98223852.68
2011-04-29,95027401.35
2011-04-30,84001036.71
2011-05-01,71164609.84
2011-05-02,92648243.9
2011-05-03,94336956.67
2011-05-04,94600199.21
2011-05-05,84232508.97
2011-05-06,89960674.08
2011-05-07,78793009.68
2011-05-08,70078298.17
2011-05-09,80588334.02
2011-05-10,85555574.63
2011-05-11,90333466.38
2011-05-12,88145568.4
2011-05-13,87524432.44
2011-05-14,82811720.95
2011-05-15,68820625
2011-05-16,82479441.83
2011-05-17,88034218.34
2011-05-18,89919092.93
2011-05-19,94254091.16
2011-05-20,93244638.06
2011-05-21,82773451.33
2011-05-22,71655810.13
2011-05-23,85653776.71
2011-05-24,92951862.67
2011-05-25,92902747.81
2011-05-26,93073599.87
2011-05-27,91578065.73
2011-05-28,81947418.52
2011-05-29,71607817.69
2011-05-30,85900780.44
2011-05-31,93260474.52
2011-06-01,95248343.33
2011-06-02,97400106.91
2011-06-03,95594761.81
2011-06-04,84291174.46
2011-06-05,72386944.26
2011-06-06,76398215.04
2011-06-07,94852866.39
2011-06-08,100250880.1
2011-06-09,101391466.4
2011-06-10,102065343.3
2011-06-11,88634960.72
2011-06-12,75130390.13
2011-06-13,92980261.33
